Томская область,"18,4",13,"10,2","8,8","7,7","7,3"
Дальневосточный федеральный округ,"132,3","112,7","92,5","84,8",80,75
Республика Бурятия,14,12,"9,7",9,"8,6","8,6"
Республика Саха (Якутия),"9,1","7,4","7,9","7,2","6,7","6,2"
Забайкальский край,20,"18,8","18,9",18,"16,3","15,7"
Камчатский край,"3,3","2,4",2,2,2,"1,9"
Приморский край,"30,9","27,5","21,7","20,3","18,8","16,9"
Хабаровский край,"18,6","13,8","9,1","7,4","7,4",7
Амурская область,"20,7","18,2","15,1","13,7","13,4",12
Магаданская область,"1,4","1,2","0,7","0,7","0,7","0,7"
Сахалинская область,"7,6","5,6","4,1","3,7","3,6","3,4"
Еврейская автономная область,"6,7","5,6","3,4","2,7","2,6","2,6"
Чукотский автономный округ,0,0,0,0,0,0
